Date/Time,THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep) 
 07/21  01:00:00,0.0,0.0,0.0,1712196.0012965905,428579.1274364229,2140775.1287330138,0.0,0.0,0.0,475.61000036016407,119.0497576212286,594.6597579813927,0.0,0.0,0.0,737918.009947674,199449.2786431859,937367.28859086,0.0,0.0,0.0,204.977224985465,55.40257740088498,260.37980238635,9881269.76253951,3078142.417323874 
 07/21  02:00:00,0.0,0.0,0.0,1965864.7896091347,507167.0775222652,2473031.8671314,0.0,0.0,0.0,546.0735526692041,140.87974375618478,686.9532964253889,0.0,0.0,0.0,1016214.2801922925,282908.69152460963,1299122.9717169022,0.0,0.0,0.0,282.28174449785905,78.5857476457249,360.86749214358395,9881269.76253951,3772154.838848302 
 07/21  03:00:00,0.0,0.0,0.0,1918635.1236340138,499564.0608644399,2418199.184498454,0.0,0.0,0.0,532.9542010094483,138.76779468456664,671.7219956940149,0.0,0.0,0.0,1014678.9923888289,283939.76397409145,1298618.7563629204,0.0,0.0,0.0,281.8552756635636,78.87215665946985,360.72743232303344,9881269.76253951,3716817.940861374 
 07/21  04:00:00,0.0,0.0,0.0,1737206.319158197,448710.06758350215,2185916.386741699,0.0,0.0,0.0,482.5573108772769,124.6416854398617,607.1989963171386,0.0,0.0,0.0,949457.0436638809,260069.95740350944,1209527.0010673904,0.0,0.0,0.0,263.73806768441136,72.24165483430818,335.97972251871954,9881269.76253951,3395443.3878090894 
 07/21  05:00:00,0.0,0.0,0.0,1537633.921890163,398225.1869472004,1935859.1088373633,0.0,0.0,0.0,427.1205338583786,110.61810748533344,537.7386413437121,0.0,0.0,0.0,855566.8899183744,231663.64951310714,1087230.5394314814,0.0,0.0,0.0,237.65746942177066,64.35101375364087,302.0084831754115,9881269.76253951,3023089.648268845 
 07/21  06:00:00,0.0,0.0,0.0,1506930.6734999088,398240.3365005837,1905171.0100004924,0.0,0.0,0.0,418.59185374997463,110.62231569460658,529.2141694445812,0.0,0.0,0.0,795013.2573749113,217397.63627573792,1012410.8936506492,0.0,0.0,0.0,220.83701593747537,60.38823229881609,281.22524823629146,9881269.76253951,2917581.9036511416 
 07/21  07:00:00,0.0,0.0,0.0,11624103.282369995,3038665.429263503,14662768.711633502,0.0,0.0,0.0,3228.9175784361105,844.0737303509729,4072.9913087870837,0.0,0.0,0.0,5932198.643813206,1577250.1328923893,7509448.776705596,0.0,0.0,0.0,1647.8329566147795,438.12503691455265,2085.957993529332,9881269.76253951,22172217.488339096 
 07/21  08:00:00,0.0,0.0,0.0,8250600.284124288,2043728.7334556654,10294329.017579954,0.0,0.0,0.0,2291.8334122567467,567.702425959907,2859.5358382166537,0.0,0.0,0.0,3737561.780337531,922028.0804504907,4659589.860788021,0.0,0.0,0.0,1038.2116056493142,256.1189112362474,1294.3305168855616,9881269.76253951,14953918.878367975 
 07/21  09:00:00,0.0,0.0,0.0,10837595.677936632,2477687.9932664023,13315283.671203034,0.0,0.0,0.0,3010.4432438712865,688.2466647962228,3698.6899086675094,0.0,0.0,0.0,4557011.737457875,1078924.480278804,5635936.217736679,0.0,0.0,0.0,1265.8365937382987,299.70124452189,1565.5378382601887,9881269.76253951,18951219.888939712 
 07/21  10:00:00,0.0,0.0,0.0,11089241.824408615,2351153.2769037727,13440395.101312388,0.0,0.0,0.0,3080.344951224615,653.0981324732702,3733.4430836978854,0.0,0.0,0.0,4410155.505225829,1038711.0599178274,5448866.565143656,0.0,0.0,0.0,1225.0431958960635,288.5308499771743,1513.5740458732378,9881269.76253951,18889261.666456044 
